timestamp,/mfcc_aRMSlow_MFCC1,/mfcc_aRMSlow_MFCC2,/mfcc_aRMSlow_MFCC3,/mfcc_aRMShigh_MFCC1,/mfcc_aRMShigh_MFCC2,/mfcc_aRMShigh_MFCC3,/mfcc_vRMSlow_MFCC1,/mfcc_vRMSlow_MFCC2,/mfcc_vRMSlow_MFCC3,/mfcc_vRMShigh_MFCC1,/mfcc_vRMShigh_MFCC2,/mfcc_vRMShigh_MFCC3,estado
1739802742.5952609,16.464981079101562,5.964028835296631,3.663818120956421,13.505328178405762,-0.4029153883457184,-0.384806752204895,11.20896816253662,4.653092861175537,4.225614547729492,12.497551918029783,-1.8985897302627563,0.1829978376626968,roca
1739802742.6952934,11.542720794677734,1.2141326665878296,1.863066792488098,6.8387131690979,-0.7966215014457703,0.5790418982505798,11.09643268585205,-0.3606379330158233,-0.97712641954422,13.62994384765625,-3.2114665508270264,-0.0189783368259668,roca
1739802742.7952738,7.190423965454102,0.2359170913696289,-0.8515147566795349,11.248188972473145,-1.8733638525009155,-3.1028549671173096,9.57692813873291,-0.2566020488739013,0.985826313495636,10.849797248840332,-3.356995820999145,-1.7113300561904907,roca
1739802742.895321,0.0,-1.6280170679092407,0.0,8.514488220214844,-0.7580873370170593,1.225977063179016,12.951210975646973,-0.5741040706634521,2.3735671043396,10.943695068359377,0.3692178726196289,1.682145118713379,roca
1739802742.9952772,0.0,0.0,0.0,10.30027675628662,-0.0507715530693531,1.2624937295913696,9.118038177490234,-0.2571516335010528,-1.6533015966415403,7.941256046295166,-1.4792450666427612,2.034967422485352,roca
1739802743.095255,0.0,0.0,0.0,4.781721115112305,0.1901357918977737,0.5400453209877014,0.0,-1.6280170679092407,0.0,3.7968242168426514,-2.531868934631348,0.3167688846588135,roca
1739802743.3952563,0.0,0.0,0.0,0.0,0.0,0.0,7.569892406463623,-1.456558108329773,-0.950821578502655,0.0,0.0,0.0,roca
1739802743.4952486,0.0,0.0,0.0,0.0,0.0,0.0,7.894321441650391,-2.035111665725708,-0.8993842005729675,0.0,0.0,0.0,roca
1739802743.5952473,0.0,0.0,0.0,0.0,0.0,0.0,8.237608909606934,-2.0769293308258057,-0.9250655174255372,0.0,0.0,0.0,roca
1739802743.6952865,0.0,0.0,0.0,0.0,0.0,0.0,7.894321441650391,-2.5777838230133057,-0.8993842005729675,0.0,0.0,0.0,roca
1739802743.795265,0.0,0.0,0.0,0.0,0.0,0.0,8.237608909606934,-2.0769293308258057,-0.9250655174255372,0.0,0.0,0.0,roca
1739802743.8952467,0.0,0.0,0.0,0.0,0.0,0.0,7.894321441650391,-2.035112142562866,-0.8993842005729675,0.0,0.0,0.0,roca
1739802743.9952776,0.0,0.0,0.0,0.0,0.0,0.0,7.570159912109375,-1.4566200971603394,-0.9508035778999328,0.0,0.0,0.0,roca
